Player_Name,Team,Matches,Innings,Not_Outs,Runs,HS,Average,Balls_faced,Strike_Rate,100S,50S,Ducks,Fours,Sixes,HF
LMP Simmons,(Trinbago Knight Riders),11,11,2,356,96,39.55,291,122.33,0,3,2,26,20,3
GD Phillips,(Jamaica Tallawahs),11,10,1,316,79*,35.11,248,127.41,0,2,2,19,18,2
DM Bravo,(Trinbago Knight Riders),12,9,4,297,58*,59.4,258,115.11,0,3,0,12,20,3
SO Hetmyer,(Guyana Amazon Warriors),11,11,3,267,71,33.37,212,125.94,0,3,2,21,9,3
N Pooran,(Guyana Amazon Warriors),11,11,2,245,100*,27.22,198,123.73,1,1,2,18,12,3
E Lewis,(St Kitts and Nevis Patriots),10,10,1,235,89,26.11,195,120.51,0,1,0,16,18,1
RL Chase,(St Lucia Zouks),11,9,3,225,66,37.5,204,110.29,0,2,0,15,6,2
Najibullah Zadran,(St Lucia Zouks),12,11,0,224,35,20.36,202,110.89,0,0,1,16,9,0
AD Russell,(Jamaica Tallawahs),9,8,3,222,54,44.4,157,141.4,0,3,1,19,16,3
KR Mayers,(Barbados Tridents),9,9,0,222,85,24.66,199,111.55,0,1,0,10,14,1
J Charles,(Barbados Tridents),10,10,0,214,52,21.4,186,115.05,0,1,2,21,7,1
ADS Fletcher,(St Lucia Zouks),12,11,1,211,46,21.1,165,127.87,0,0,0,17,11,0
KA Pollard,(Trinbago Knight Riders),11,7,3,207,72,51.75,101,204.95,0,1,0,9,20,1
C Munro,(Trinbago Knight Riders),8,8,2,207,65,34.5,155,133.54,0,2,2,26,8,2
JO Holder,(Barbados Tridents),10,10,1,192,69,21.33,137,140.14,0,1,1,15,12,1
J Blackwood,(Jamaica Tallawahs),8,7,0,189,74,27,183,103.27,0,1,1,16,7,1
RRS Cornwall,(St Lucia Zouks),10,10,1,182,32*,20.22,129,141.08,0,0,0,18,13,0
D Ramdin,(St Kitts and Nevis Patriots),10,9,1,170,46,21.25,175,97.14,0,0,0,4,7,0
M Deyal,(St Lucia Zouks),10,9,1,166,40,20.75,131,126.71,0,0,1,14,7,0
LRPL Taylor,(Guyana Amazon Warriors),11,10,3,164,33,23.42,188,87.23,0,0,0,10,5,0
Mohammad Nabi,(St Lucia Zouks),12,10,2,156,35*,19.5,125,124.8,0,0,0,9,9,0
BR Dunk,(St Kitts and Nevis Patriots),10,9,1,155,34,19.37,142,109.15,0,0,0,8,5,0
